evidence_tier,field,method_id,method,method_group,status,protocol,source,test_references,recovery_metric,recovery_percent,high_density_v20_recall_percent,high_density_v20_n,astrometric_rms_mas,photometric_rms_mag,runtime_s,runtime_s_per_mpix,note
HST/ACS single-F606W controlled,ngc6397,astrocfr_spatial_epsf_joint,AstroCFR spatial-ePSF joint,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,631,held_out_catalogue_recovery,98.891,66.667,9,1.1038,0.03025,24.633,17.106,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6752,dao,DAOStarFinder,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,2291,held_out_catalogue_recovery,76.211,56.965,402,2.1340,0.05750,0.192,0.133,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6752,sep,SEP/SExtractor-style,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,2291,held_out_catalogue_recovery,52.030,28.607,402,2.6907,0.12443,7.830,5.438,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6752,photutils_psf,Photutils PSFPhotometry,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,2291,held_out_catalogue_recovery,76.255,56.965,402,1.0526,0.03907,14.124,9.808,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6752,astrocfr_epsf_deblend,AstroCFR ePSF + residual deblend,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,2291,held_out_catalogue_recovery,93.191,87.562,402,1.3482,0.04203,40.932,28.425,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc6752,astrocfr_spatial_epsf_joint,AstroCFR spatial-ePSF joint,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,2291,held_out_catalogue_recovery,93.365,88.308,402,1.2660,0.03699,55.540,38.570,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc1851,dao,DAOStarFinder,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5366,held_out_catalogue_recovery,17.350,34.503,1368,1.6778,0.32023,0.142,0.099,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc1851,sep,SEP/SExtractor-style,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5366,held_out_catalogue_recovery,45.639,51.827,1368,5.9851,0.26504,9.624,6.683,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc1851,photutils_psf,Photutils PSFPhotometry,single-image baseline,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5366,held_out_catalogue_recovery,17.052,34.503,1368,3.7732,0.28268,10.108,7.020,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc1851,astrocfr_epsf_deblend,AstroCFR ePSF + residual deblend,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5366,held_out_catalogue_recovery,29.296,68.860,1368,4.2506,0.08033,29.734,20.649,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc1851,astrocfr_spatial_epsf_joint,AstroCFR spatial-ePSF joint,v45 branch,complete,central 1200x1200 crop; held-out spatial test partition; 2-pixel one-to-one association,results/acsggct_all11_baselines/hst_unified_baseline_summary.json,5366,held_out_catalogue_recovery,34.737,86.330,1368,2.1471,0.08237,55.604,38.614,Image-only fitting; the reference catalogue is used only for held-out evaluation/calibration.
HST/ACS single-F606W controlled,ngc2808,global_epsf_joint,Global empirical ePSF + neighbour joint,literature mapping: effective-PSF ablation (Libralato et al. 2024),complete,central 1200x1200 crop; held-out dense subset; 2-pixel one-to-one association,results/hst_literature_method_benchmark_all11/summary.json,2728,held_out_dense_catalogue_recovery,11.107,,2728,49.1697,1.64971,57.100,,"Reimplementation/ablation of the stated modelling idea, not a bit-for-bit external pipeline reproduction."
HST/ACS single-F606W controlled,ngc2808,three_gaussian_dpsf_joint,Three-Gaussian dPSF + neighbour joint,literature mapping: discrete-PSF approximation (Nie et al. 2025),complete,central 1200x1200 crop; held-out dense subset; 2-pixel one-to-one association,results/hst_literature_method_benchmark_all11/summary.json,2728,held_out_dense_catalogue_recovery,11.070,,2728,49.1616,1.64927,64.966,,"Reimplementation/ablation of the stated modelling idea, not a bit-for-bit external pipeline reproduction."
HST/ACS single-F606W controlled,ngc2808,spatial_epsf_joint,Spatial empirical ePSF + neighbour joint,literature-mapped spatial ePSF control,complete,central 1200x1200 crop; held-out dense subset; 2-pixel one-to-one association,results/hst_literature_method_benchmark_all11/summary.json,2728,held_out_dense_catalogue_recovery,11.180,,2728,49.4013,1.62364,89.417,,"Reimplementation/ablation of the stated modelling idea, not a bit-for-bit external pipeline reproduction."
HST/ACS single-F606W controlled,ngc5286,global_epsf_joint,Global empirical ePSF + neighbour joint,literature mapping: effective-PSF ablation (Libralato et al. 2024),complete,central 1200x1200 crop; held-out dense subset; 2-pixel one-to-one association,results/hst_literature_method_benchmark_all11/summary.json,1202,held_out_dense_catalogue_recovery,89.434,,1202,4.0609,0.12837,49.348,,"Reimplementation/ablation of the stated modelling idea, not a bit-for-bit external pipeline reproduction."
HST/ACS single-F606W controlled,ngc5286,three_gaussian_dpsf_joint,Three-Gaussian dPSF + neighbour joint,literature mapping: discrete-PSF approximation (Nie et al. 2025),complete,central 1200x1200 crop; held-out dense subset; 2-pixel one-to-one association,results/hst_literature_method_benchmark_all11/summary.json,1202,held_out_dense_catalogue_recovery,89.434,,1202,3.8938,0.13090,50.253,,"Reimplementation/ablation of the stated modelling idea, not a bit-for-bit external pipeline reproduction."
HST/ACS single-F606W controlled,ngc5286,spatial_epsf_joint,Spatial empirical ePSF + neighbour joint,literature-mapped spatial ePSF control,complete,central 1200x1200 crop; held-out dense subset; 2-pixel one-to-one association,results/hst_literature_method_benchmark_all11/summary.json,1202,held_out_dense_catalogue_recovery,89.601,,1202,3.1549,0.12366,66.106,,"Reimplementation/ablation of the stated modelling idea, not a bit-for-bit external pipeline reproduction."
HST/ACS single-F606W controlled,ngc6388,global_epsf_joint,Global empirical ePSF + neighbour joint,literature mapping: effective-PSF ablation (Libralato et al. 2024),complete,central 1200x1200 crop; held-out dense subset; 2-pixel one-to-one association,results/hst_literature_method_benchmark_all11/summary.json,1275,held_out_dense_catalogue_recovery,80.549,,1275,4.2038,0.14991,58.205,,"Reimplementation/ablation of the stated modelling idea, not a bit-for-bit external pipeline reproduction."
HST/ACS single-F606W controlled,ngc6388,three_gaussian_dpsf_joint,Three-Gaussian dPSF + neighbour joint,literature mapping: discrete-PSF approximation (Nie et al. 2025),complete,central 1200x1200 crop; held-out dense subset; 2-pixel one-to-one association,results/hst_literature_method_benchmark_all11/summary.json,1275,held_out_dense_catalogue_recovery,80.549,,1275,4.4290,0.15138,65.672,,"Reimplementation/ablation of the stated modelling idea, not a bit-for-bit external pipeline reproduction."
HST/ACS single-F606W controlled,ngc6388,spatial_epsf_joint,Spatial empirical ePSF + neighbour joint,literature-mapped spatial ePSF control,complete,central 1200x1200 crop; held-out dense subset; 2-pixel one-to-one association,results/hst_literature_method_benchmark_all11/summary.json,1275,held_out_dense_catalogue_recovery,80.549,,1275,4.2542,0.14995,92.503,,"Reimplementation/ablation of the stated modelling idea, not a bit-for-bit external pipeline reproduction."
HST/ACS single-F606W controlled,ngc6441,global_epsf_joint,Global empirical ePSF + neighbour joint,literature mapping: effective-PSF ablation (Libralato et al. 2024),complete,central 1200x1200 crop; held-out dense subset; 2-pixel one-to-one association,results/hst_literature_method_benchmark_all11/summary.json,899,held_out_dense_catalogue_recovery,83.871,,899,4.3446,0.16534,66.570,,"Reimplementation/ablation of the stated modelling idea, not a bit-for-bit external pipeline reproduction."
HST/ACS single-F606W controlled,ngc6441,three_gaussian_dpsf_joint,Three-Gaussian dPSF + neighbour joint,literature mapping: discrete-PSF approximation (Nie et al. 2025),complete,central 1200x1200 crop; held-out dense subset; 2-pixel one-to-one association,results/hst_literature_method_benchmark_all11/summary.json,899,held_out_dense_catalogue_recovery,83.871,,899,4.2624,0.17326,78.879,,"Reimplementation/ablation of the stated modelling idea, not a bit-for-bit external pipeline reproduction."
HST/ACS single-F606W controlled,ngc6441,spatial_epsf_joint,Spatial empirical ePSF + neighbour joint,literature-mapped spatial ePSF control,complete,central 1200x1200 crop; held-out dense subset; 2-pixel one-to-one association,results/hst_literature_method_benchmark_all11/summary.json,899,held_out_dense_catalogue_recovery,84.093,,899,3.1752,0.14770,97.006,,"Reimplementation/ablation of the stated modelling idea, not a bit-for-bit external pipeline reproduction."
HST/ACS single-F606W controlled,ngc0104,global_epsf_joint,Global empirical ePSF + neighbour joint,literature mapping: effective-PSF ablation (Libralato et al. 2024),complete,central 1200x1200 crop; held-out dense subset; 2-pixel one-to-one association,results/hst_literature_method_benchmark_all11/summary.json,3434,held_out_dense_catalogue_recovery,68.608,,3434,2.5200,0.08615,49.386,,"Reimplementation/ablation of the stated modelling idea, not a bit-for-bit external pipeline reproduction."
HST/ACS single-F606W controlled,ngc0104,three_gaussian_dpsf_joint,Three-Gaussian dPSF + neighbour joint,literature mapping: discrete-PSF approximation (Nie et al. 2025),complete,central 1200x1200 crop; held-out dense subset; 2-pixel one-to-one association,results/hst_literature_method_benchmark_all11/summary.json,3434,held_out_dense_catalogue_recovery,68.608,,3434,2.6887,0.08282,57.344,,"Reimplementation/ablation of the stated modelling idea, not a bit-for-bit external pipeline reproduction."
